DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-03-04 13:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1943.33	2022-03-04 16:16:19
2022-03-04 12:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1934.83	2022-03-04 15:16:16
2022-03-04 11:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1989.87	2022-03-04 15:16:16
2022-03-04 10:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2000.72	2022-03-04 15:16:16
2022-03-04 09:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2016.04	2022-03-04 12:16:16
2022-03-04 08:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2044.38	2022-03-04 11:16:15
2022-03-04 07:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2012.2	2022-03-04 11:16:15
2022-03-04 06:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2036.74	2022-03-04 11:16:15
2022-03-04 05:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1899.04	2022-03-04 08:16:11
2022-03-04 04:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1738.05	2022-03-04 07:16:18
2022-03-04 03:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1601.04	2022-03-04 07:16:18
2022-03-04 02:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1496.3	2022-03-04 05:16:13
2022-03-04 01:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1449.72	2022-03-04 04:16:09
2022-03-04 00:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1403.03	2022-03-04 03:16:17
2022-03-03 23:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1428.09	2022-03-04 02:16:17
2022-03-03 22:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1438.62	2022-03-04 00:16:19
2022-03-03 21:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1544.02	2022-03-04 00:16:19
2022-03-03 20:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1577.57	2022-03-04 00:16:19
2022-03-03 19:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1667.29	2022-03-03 21:16:08
2022-03-03 18:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1762.41	2022-03-03 21:16:08
2022-03-03 17:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1840.66	2022-03-03 21:16:08
2022-03-03 16:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1912.84	2022-03-03 21:16:08
2022-03-03 15:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1888.42	2022-03-03 18:16:17
2022-03-03 14:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1865.37	2022-03-03 17:16:11
2022-03-03 13:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1817.46	2022-03-03 17:16:11
2022-03-03 12:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1846.85	2022-03-03 15:16:08
2022-03-03 11:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1755.64	2022-03-03 15:16:08
2022-03-03 10:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1802.9	2022-03-03 13:16:27
2022-03-03 09:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1834.2	2022-03-03 12:16:33
2022-03-03 08:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1912.34	2022-03-03 11:16:28
2022-03-03 07:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1979.77	2022-03-03 11:16:28
2022-03-03 06:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1943.15	2022-03-03 11:16:28
2022-03-03 05:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1825.32	2022-03-03 08:16:12
